No.	Title	Link	Authors	Keywords
80	Synthesis and Completion of Facades from Satellite Imagery	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3678_ECCV_2020_paper.php	Xiaowei Zhang, Christopher May, Daniel Aliaga	
81	Mapillary Planet-Scale Depth Dataset	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3772_ECCV_2020_paper.php	Manuel López Antequera, Pau Gargallo, Markus Hofinger, Samuel Rota Bulò, Yubin Kuang, Peter Kontschieder	
82	V2VNet: Vehicle-to-Vehicle Communication for Joint Perception and Prediction	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3838_ECCV_2020_paper.php	Tsun-Hsuan Wang, Sivabalan Manivasagam, Ming Liang, Bin Yang, Wenyuan Zeng, Raquel Urtasun	
83	Training Interpretable Convolutional Neural Networks by Differentiating Class-specific Filters	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3891_ECCV_2020_paper.php	Haoyu Liang, Zhihao Ouyang, Yuyuan Zeng, Hang Su, Zihao He, Shu-Tao Xia, Jun Zhu, Bo Zhang	
84	EagleEye: Fast Sub-net Evaluation for Efficient Neural Network Pruning	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3948_ECCV_2020_paper.php	Bailin Li, Bowen Wu, Jiang Su, Guangrun Wang	
85	Intrinsic Point Cloud Interpolation via Dual Latent Space Navigation	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3975_ECCV_2020_paper.php	Marie-Julie Rakotosaona, Maks Ovsjanikov	
86	Cross-Domain Cascaded Deep Translation	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/3976_ECCV_2020_paper.php	Oren Katzir, Dani Lischinski, Daniel Cohen-Or	
87	“Look Ma, no landmarks!” – Unsupervised, Model-based Dense Face Alignment	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/4043_ECCV_2020_paper.php	Tatsuro Koizumi, William A. P. Smith	
88	Online Invariance Selection for Local Feature Descriptors	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/4158_ECCV_2020_paper.php	Rémi Pautrat, Viktor Larsson, Martin R. Oswald, Marc Pollefeys	
89	Rethinking Image Inpainting via a Mutual Encoder-Decoder with Feature Equalizations	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/4179_ECCV_2020_paper.php	Hongyu Liu, Bin Jiang, Yibing Song, Wei Huang, Chao Yang	
90	TextCaps: a Dataset for Image Captioning with Reading Comprehension	https://www.ecva.net/papers/eccv_2020/papers_ECCV/html/4358_ECCV_2020_paper.php	Oleksii Sidorov, Ronghang Hu, Marcus Rohrbach, Amanpreet Singh	
