No.	Title	Link	Authors	Keywords
38	Mixed High-Order Attention Network for Person Re-Identification	https://openaccess.thecvf.com/content_ICCV_2019/html/Chen_Mixed_High-Order_Attention_Network_for_Person_Re-Identification_ICCV_2019_paper.html	Binghui Chen, Weihong Deng, Jiani Hu	
39	Budget-Aware Adapters for Multi-Domain Learning	https://openaccess.thecvf.com/content_ICCV_2019/html/Berriel_Budget-Aware_Adapters_for_Multi-Domain_Learning_ICCV_2019_paper.html	Rodrigo Berriel, Stephane Lathuillere, Moin Nabi, Tassilo Klein, Thiago Oliveira-Santos, Nicu Sebe, Elisa Ricci	
40	Compact Trilinear Interaction for Visual Question Answering	https://openaccess.thecvf.com/content_ICCV_2019/html/Do_Compact_Trilinear_Interaction_for_Visual_Question_Answering_ICCV_2019_paper.html	Tuong Do, Thanh-Toan Do, Huy Tran, Erman Tjiputra, Quang D. Tran	
41	Towards Latent Attribute Discovery From Triplet Similarities	https://openaccess.thecvf.com/content_ICCV_2019/html/Nigam_Towards_Latent_Attribute_Discovery_From_Triplet_Similarities_ICCV_2019_paper.html	Ishan Nigam, Pavel Tokmakov, Deva Ramanan	
42	GeoStyle: Discovering Fashion Trends and Events	https://openaccess.thecvf.com/content_ICCV_2019/html/Mall_GeoStyle_Discovering_Fashion_Trends_and_Events_ICCV_2019_paper.html	Utkarsh Mall, Kevin Matzen, Bharath Hariharan, Noah Snavely, Kavita Bala	
43	Towards Adversarially Robust Object Detection	https://openaccess.thecvf.com/content_ICCV_2019/html/Zhang_Towards_Adversarially_Robust_Object_Detection_ICCV_2019_paper.html	Haichao Zhang, Jianyu Wang	
44	Automatic and Robust Skull Registration Based on Discrete Uniformization	https://openaccess.thecvf.com/content_ICCV_2019/html/Zhao_Automatic_and_Robust_Skull_Registration_Based_on_Discrete_Uniformization_ICCV_2019_paper.html	Junli Zhao, Xin Qi, Chengfeng Wen, Na Lei, Xianfeng Gu	
45	Few-Shot Image Recognition With Knowledge Transfer	https://openaccess.thecvf.com/content_ICCV_2019/html/Peng_Few-Shot_Image_Recognition_With_Knowledge_Transfer_ICCV_2019_paper.html	Zhimao Peng, Zechao Li, Junge Zhang, Yan Li, Guo-Jun Qi, Jinhui Tang	
46	Fine-Grained Action Retrieval Through Multiple Parts-of-Speech Embeddings	https://openaccess.thecvf.com/content_ICCV_2019/html/Wray_Fine-Grained_Action_Retrieval_Through_Multiple_Parts-of-Speech_Embeddings_ICCV_2019_paper.html	Michael Wray, Diane Larlus, Gabriela Csurka, Dima Damen	
47	Vehicle Re-Identification in Aerial Imagery: Dataset and Approach	https://openaccess.thecvf.com/content_ICCV_2019/html/Wang_Vehicle_Re-Identification_in_Aerial_Imagery_Dataset_and_Approach_ICCV_2019_paper.html	Peng Wang, Bingliang Jiao, Lu Yang, Yifei Yang, Shizhou Zhang, Wei Wei, Yanning Zhang	
