No.	Title	Link	Authors	Keywords
57	Estimating Gradients for Discrete Random Variables by Sampling without Replacement	https://openreview.net/forum?id=rklEj2EFvB	Wouter Kool, Herke van Hoof, Max Welling	gradient, estimator, discrete, categorical, sampling, without replacement, reinforce, baseline, variance, gumbel, vae, structured prediction
58	Learning to Control PDEs with Differentiable Physics	https://openreview.net/forum?id=HyeSin4FPB	Philipp Holl, Nils Thuerey, Vladlen Koltun	Differentiable physics, Optimal control, Deep learning
59	Intensity-Free Learning of Temporal Point Processes	https://openreview.net/forum?id=HygOjhEYDH	Oleksandr Shchur, Marin Biloš, Stephan Günnemann	Temporal point process, neural density estimation
60	A Signal Propagation Perspective for Pruning Neural Networks at Initialization	https://openreview.net/forum?id=HJeTo2VFwH	Namhoon Lee, Thalaiyasingam Ajanthan, Stephen Gould, Philip H. S. Torr	neural network pruning, signal propagation perspective, sparse neural networks
61	Skip Connections Matter: On the Transferability of Adversarial Examples Generated with ResNets	https://openreview.net/forum?id=BJlRs34Fvr	Dongxian Wu, Yisen Wang, Shu-Tao Xia, James Bailey, Xingjun Ma	Adversarial Example, Transferability, Skip Connection, Neural Network
62	White Noise Analysis of Neural Networks	https://openreview.net/forum?id=H1ebhnEYDH	Ali Borji, Sikun Lin	Classification images, spike triggered analysis, deep learning, network visualization, adversarial attack, adversarial defense, microstimulation, computational neuroscience
63	Neural Machine Translation with Universal Visual Representation	https://openreview.net/forum?id=Byl8hhNYPS	Zhuosheng Zhang, Kehai Chen, Rui Wang, Masao Utiyama, Eiichiro Sumita, Zuchao Li, Hai Zhao	Neural Machine Translation, Visual Representation, Multimodal Machine Translation, Language Representation
64	Tranquil Clouds: Neural Networks for Learning Temporally Coherent Features in Point Clouds	https://openreview.net/forum?id=BJeKh3VYDH	Lukas Prantl, Nuttapong Chentanez, Stefan Jeschke, Nils Thuerey	point clouds, spatio-temporal representations, Lagrangian data, temporal coherence, super-resolution, denoising
65	PC-DARTS: Partial Channel Connections for Memory-Efficient Architecture Search	https://openreview.net/forum?id=BJlS634tPr	Yuhui Xu, Lingxi Xie, Xiaopeng Zhang, Xin Chen, Guo-Jun Qi, Qi Tian, Hongkai Xiong	Neural Architecture Search, DARTS, Regularization, Normalization
66	Online and stochastic optimization beyond Lipschitz continuity: A Riemannian approach	https://openreview.net/forum?id=rkxZyaNtwB	Kimon Antonakopoulos, E. Veronica Belmega, Panayotis Mertikopoulos	Online optimization, stochastic optimization, Poisson inverse problems
67	Enhancing Adversarial Defense by k-Winners-Take-All	https://openreview.net/forum?id=Skgvy64tvr	Chang Xiao, Peilin Zhong, Changxi Zheng	adversarial defense, activation function, winner takes all
68	Encoding word order in complex embeddings	https://openreview.net/forum?id=Hke-WTVtwr	Benyou Wang, Donghao Zhao, Christina Lioma, Qiuchi Li, Peng Zhang, Jakob Grue Simonsen	word embedding, complex-valued neural network, position embedding
69	DDSP: Differentiable Digital Signal Processing	https://openreview.net/forum?id=B1x1ma4tDr	Jesse Engel, Lamtharn (Hanoi) Hantrakul, Chenjie Gu, Adam Roberts	dsp, audio, music, nsynth, wavenet, wavernn, vocoder, synthesizer, sound, signal, processing, tensorflow, autoencoder, disentanglement
70	Cross-Domain Few-Shot Classification via Learned Feature-Wise Transformation	https://openreview.net/forum?id=SJl5Np4tPr	Hung-Yu Tseng, Hsin-Ying Lee, Jia-Bin Huang, Ming-Hsuan Yang	
71	Ridge Regression: Structure, Cross-Validation, and Sketching	https://openreview.net/forum?id=HklRwaEKwB	Sifan Liu, Edgar Dobriban	ridge regression, sketching, random matrix theory, cross-validation, high-dimensional asymptotics
72	Finite Depth and Width Corrections to the Neural Tangent Kernel	https://openreview.net/forum?id=SJgndT4KwB	Boris Hanin, Mihai Nica	Neural Tangent Kernel, Finite Width Corrections, Random ReLU Net, Wide Networks, Deep Networks
73	Meta-Learning without Memorization	https://openreview.net/forum?id=BklEFpEYwS	Mingzhang Yin, George Tucker, Mingyuan Zhou, Sergey Levine, Chelsea Finn	meta-learning, memorization, regularization, overfitting, mutually-exclusive
74	Influence-Based Multi-Agent Exploration	https://openreview.net/forum?id=BJgy96EYvr	Tonghan Wang*, Jianhao Wang*, Yi Wu, Chongjie Zhang	Multi-agent reinforcement learning, Exploration
75	HOPPITY: LEARNING GRAPH TRANSFORMATIONS TO DETECT AND FIX BUGS IN PROGRAMS	https://openreview.net/forum?id=SJeqs6EFvB	Elizabeth Dinella, Hanjun Dai, Ziyang Li, Mayur Naik, Le Song, Ke Wang	Bug Detection, Program Repair, Graph Neural Network, Graph Transformation
76	Sliced Cramer Synaptic Consolidation for Preserving Deeply Learned Representations	https://openreview.net/forum?id=BJge3TNKwH	Soheil Kolouri, Nicholas A. Ketz, Andrea Soltoggio, Praveen K. Pilly	selective plasticity, catastrophic forgetting, intransigence
77	How much Position Information Do Convolutional Neural Networks Encode?	https://openreview.net/forum?id=rJeB36NKvB	Md Amirul Islam*, Sen Jia*, Neil D. B. Bruce	network understanding, absolute position information
78	Hamiltonian Generative Networks	https://openreview.net/forum?id=HJenn6VFvB	Peter Toth, Danilo J. Rezende, Andrew Jaegle, Sébastien Racanière, Aleksandar Botev, Irina Higgins	Hamiltonian dynamics, normalising flows, generative model, physics
79	CoPhy: Counterfactual Learning of Physical Dynamics	https://openreview.net/forum?id=SkeyppEFvS	Fabien Baradel, Natalia Neverova, Julien Mille, Greg Mori, Christian Wolf	intuitive physics, visual reasoning
80	Estimating counterfactual treatment outcomes over time through adversarially balanced representations	https://openreview.net/forum?id=BJg866NFvB	Ioana Bica, Ahmed M Alaa, James Jordon, Mihaela van der Schaar	treatment effects over time, causal inference, counterfactual estimation
81	Gradientless Descent: High-Dimensional Zeroth-Order Optimization	https://openreview.net/forum?id=Skep6TVYDB	Daniel Golovin, John Karro, Greg Kochanski, Chansoo Lee, Xingyou Song, Qiuyi Zhang	Zeroth Order Optimization
82	Conditional Learning of Fair Representations	https://openreview.net/forum?id=Hkekl0NFPr	Han Zhao, Amanda Coston, Tameem Adel, Geoffrey J. Gordon	algorithmic fairness, representation learning
83	Inductive Matrix Completion Based on Graph Neural Networks	https://openreview.net/forum?id=ByxxgCEYDS	Muhan Zhang, Yixin Chen	matrix completion, graph neural network
84	Duration-of-Stay Storage Assignment under Uncertainty	https://openreview.net/forum?id=Hkx7xRVYDr	Michael Lingzhi Li, Elliott Wolf, Daniel Wintz	Storage Assignment, Deep Learning, Duration-of-Stay, Application, Natural Language Processing, Parallel Network
85	Emergence of functional and structural properties of the head direction system by optimization of recurrent neural networks	https://openreview.net/forum?id=HklSeREtPB	Christopher J. Cueva, Peter Y. Wang, Matthew Chin, Xue-Xin Wei	recurrent network, head direction system, neural circuits, neural coding
86	Deep neuroethology of a virtual rodent	https://openreview.net/forum?id=SyxrxR4KPS	Josh Merel, Diego Aldarondo, Jesse Marshall, Yuval Tassa, Greg Wayne, Bence Olveczky	computational neuroscience, motor control, deep RL
87	Doubly Robust Bias Reduction in Infinite Horizon Off-Policy Estimation	https://openreview.net/forum?id=S1glGANtDr	Ziyang Tang*, Yihao Feng*, Lihong Li, Dengyong Zhou, Qiang Liu	off-policy evaluation, infinite horizon, doubly robust, reinforcement learning
88	Learning Compositional Koopman Operators for Model-Based Control	https://openreview.net/forum?id=H1ldzA4tPr	Yunzhu Li, Hao He, Jiajun Wu, Dina Katabi, Antonio Torralba	Koopman operators, graph neural networks, compositionality
89	CLEVRER: Collision Events for Video Representation and Reasoning	https://openreview.net/forum?id=HkxYzANYDB	Kexin Yi*, Chuang Gan*, Yunzhu Li, Pushmeet Kohli, Jiajun Wu, Antonio Torralba, Joshua B. Tenenbaum	Neuro-symbolic, Reasoning
90	The Logical Expressiveness of Graph Neural Networks	https://openreview.net/forum?id=r1lZ7AEKvB	Pablo Barceló, Egor V. Kostylev, Mikael Monet, Jorge Pérez, Juan Reutter, Juan Pablo Silva	Graph Neural Networks, First Order Logic, Expressiveness
91	The Break-Even Point on Optimization Trajectories of Deep Neural Networks	https://openreview.net/forum?id=r1g87C4KwB	Stanislaw Jastrzebski, Maciej Szymczak, Stanislav Fort, Devansh Arpit, Jacek Tabor, Kyunghyun Cho*, Krzysztof Geras*	generalization, sgd, learning rate, batch size, hessian, curvature, trajectory, optimization
92	ALBERT: A Lite BERT for Self-supervised Learning of Language Representations	https://openreview.net/forum?id=H1eA7AEtvS	Zhenzhong Lan, Mingda Chen, Sebastian Goodman, Kevin Gimpel, Piyush Sharma, Radu Soricut	Natural Language Processing, BERT, Representation Learning
93	Disentangling neural mechanisms for perceptual grouping	https://openreview.net/forum?id=HJxrVA4FDS	Junkyung Kim*, Drew Linsley*, Kalpit Thakkar, Thomas Serre	Perceptual grouping, visual cortex, recurrent feedback, horizontal connections, top-down connections
94	Learning to Plan in High Dimensions via Neural Exploration-Exploitation Trees	https://openreview.net/forum?id=rJgJDAVKvB	Binghong Chen, Bo Dai, Qinjie Lin, Guo Ye, Han Liu, Le Song	learning to plan, representation learning, learning to design algorithm, reinforcement learning, meta learning
95	Symplectic Recurrent Neural Networks	https://openreview.net/forum?id=BkgYPREtPr	Zhengdao Chen, Jianyu Zhang, Martin Arjovsky, Léon Bottou	Hamiltonian systems, learning physical laws, symplectic integrators, recurrent neural networks, inverse problems
96	Asymptotics of Wide Networks from Feynman Diagrams	https://openreview.net/forum?id=S1gFvANKDS	Ethan Dyer, Guy Gur-Ari	
97	Learning The Difference That Makes A Difference With Counterfactually-Augmented Data	https://openreview.net/forum?id=Sklgs0NFvr	Divyansh Kaushik, Eduard Hovy, Zachary Lipton	humans in the loop, annotation artifacts, text classification, sentiment analysis, natural language inference
98	Is a Good Representation Sufficient for Sample Efficient Reinforcement Learning?	https://openreview.net/forum?id=r1genAVKPB	Simon S. Du, Sham M. Kakade, Ruosong Wang, Lin F. Yang	reinforcement learning, function approximation, lower bound, representation
99	Simplified Action Decoder for Deep Multi-Agent Reinforcement Learning	https://openreview.net/forum?id=B1xm3RVtwB	Hengyuan Hu, Jakob N Foerster	multi-agent RL, theory of mind
100	Network Deconvolution	https://openreview.net/forum?id=rkeu30EtvS	Chengxi Ye, Matthew Evanusa, Hua He, Anton Mitrokhin, Tom Goldstein, James A. Yorke, Cornelia Fermuller, Yiannis Aloimonos	convolutional networks, network deconvolution, whitening
101	Neural Symbolic Reader: Scalable Integration of Distributed and Symbolic Representations for Reading Comprehension	https://openreview.net/forum?id=ryxjnREFwH	Xinyun Chen, Chen Liang, Adams Wei Yu, Denny Zhou, Dawn Song, Quoc V. Le	neural symbolic, reading comprehension, question answering
102	Real or Not Real, that is the Question	https://openreview.net/forum?id=B1lPaCNtPB	Yuanbo Xiangli*, Yubin Deng*, Bo Dai*, Chen Change Loy, Dahua Lin	GAN, generalization, realness, loss function
103	Dream to Control: Learning Behaviors by Latent Imagination	https://openreview.net/forum?id=S1lOTC4tDS	Danijar Hafner, Timothy Lillicrap, Jimmy Ba, Mohammad Norouzi	world model, latent dynamics, imagination, planning by backprop, policy optimization, planning, reinforcement learning, control, representations, latent variable model, visual control, value function
104	A Probabilistic Formulation of Unsupervised Text Style Transfer	https://openreview.net/forum?id=HJlA0C4tPS	Junxian He, Xinyi Wang, Graham Neubig, Taylor Berg-Kirkpatrick	unsupervised text style transfer, deep latent sequence model
105	Emergent Tool Use From Multi-Agent Autocurricula	https://openreview.net/forum?id=SkxpxJBKwS	Bowen Baker, Ingmar Kanitscheider, Todor Markov, Yi Wu, Glenn Powell, Bob McGrew, Igor Mordatch	
106	NAS-Bench-201: Extending the Scope of Reproducible Neural Architecture Search	https://openreview.net/forum?id=HJxyZkBKDr	Xuanyi Dong, Yi Yang	Neural Architecture Search, AutoML, Benchmark
