No.	Title	Link	Authors	Keywords
52	Cross-Relation Cross-Bag Attention for Distantly-Supervised Relation Extraction	https://aaai.org/ojs/index.php/AAAI/article/view/3813	Yujin Yuan, Liyuan Liu, Siliang Tang, Zhongfei Zhang, Yueting Zhuang, Shiliang Pu, Fei Wu, Xiang Ren	
53	Text Assisted Insight Ranking Using Context-Aware Memory Network	https://aaai.org/ojs/index.php/AAAI/article/view/3814	Qi Zeng, Liangchen Luo, Wenhao Huang, Yang Tang	
54	Hierarchical Reinforcement Learning for Course Recommendation in MOOCs	https://aaai.org/ojs/index.php/AAAI/article/view/3815	Jing Zhang, Bowen Hao, Bo Chen, Cuiping Li, Hong Chen, Jimeng Sun	
55	Regularizing Neural Machine Translation by Target-Bidirectional Agreement	https://aaai.org/ojs/index.php/AAAI/article/view/3816	Zhirui Zhang, Shuangzhi Wu, Shujie Liu, Mu Li, Ming Zhou, Tong Xu	
56	Addressing the Under-Translation Problem from the Entropy Perspective	https://aaai.org/ojs/index.php/AAAI/article/view/3817	Yang Zhao, Jiajun Zhang, Chengqing Zong, Zhongjun He, Hua Wu	
57	Robust Online Matching with User Arrival Distribution Drift	https://aaai.org/ojs/index.php/AAAI/article/view/3818	Yu-Hang Zhou, Chen Liang, Nan Li, Cheng Yang, Shenghuo Zhu, Rong Jin	
58	Predicting Hurricane Trajectories Using a Recurrent Neural Network	https://aaai.org/ojs/index.php/AAAI/article/view/3819	Sheila Alemany, Jonathan Beltran, Adrian Perez, Sam Ganzfried	
59	Automatic Detection and Compression for Passive Acoustic Monitoring of the African Forest Elephant	https://aaai.org/ojs/index.php/AAAI/article/view/3820	Johan Bjorck, Brendan H. Rappazzo, Di Chen, Richard Bernstein, Peter H. Wrege, Carla P. Gomes	
60	Gated Residual Recurrent Graph Neural Networks for Traffic Prediction	https://aaai.org/ojs/index.php/AAAI/article/view/3821	Cen Chen, Kenli Li, Sin G. Teo, Xiaofeng Zou, Kang Wang, Jie Wang, Zeng Zeng	
61	Bias Reduction via End-to-End Shift Learning: Application to Citizen Science	https://aaai.org/ojs/index.php/AAAI/article/view/3822	Di Chen, Carla P. Gomes	
62	Coverage Centrality Maximization in Undirected Networks	https://aaai.org/ojs/index.php/AAAI/article/view/3823	Gianlorenzo D’Angelo, Martin Olsen, Lorenzo Severini	
63	Bayesian Fairness	https://aaai.org/ojs/index.php/AAAI/article/view/3824	Christos Dimitrakakis, Yang Liu, David C. Parkes, Goran Radanovic	
64	Understanding Dropouts in MOOCs	https://aaai.org/ojs/index.php/AAAI/article/view/3825	Wenzheng Feng, Jie Tang, Tracy Xiao Liu	
65	Blameworthiness in Multi-Agent Settings	https://aaai.org/ojs/index.php/AAAI/article/view/3826	Meir Friedenberg, Joseph Y. Halpern	
66	Optimal Surveillance of Covert Networks by Minimizing Inverse Geodesic Length	https://aaai.org/ojs/index.php/AAAI/article/view/3827	Serge Gaspers, Kamran Najeebullah	
67	Resisting Adversarial Attacks Using Gaussian Mixture Variational Autoencoders	https://aaai.org/ojs/index.php/AAAI/article/view/3828	Partha Ghosh, Arpan Losalka, Michael J. Black	
68	Migration as Submodular Optimization	https://aaai.org/ojs/index.php/AAAI/article/view/3829	Paul Gölz, Ariel D. Procaccia	
69	PGANs: Personalized Generative Adversarial Networks for ECG Synthesis to Improve Patient-Specific Deep ECG Classification	https://aaai.org/ojs/index.php/AAAI/article/view/3830	Tomer Golany, Kira Radinsky	
70	Selecting Compliant Agents for Opt-in Micro-Tolling	https://aaai.org/ojs/index.php/AAAI/article/view/3831	Josiah P. Hanna, Guni Sharon, Stephen D. Boyles, Peter Stone	
71	HireNet: A Hierarchical Attention Model for the Automatic Analysis of Asynchronous Video Job Interviews	https://aaai.org/ojs/index.php/AAAI/article/view/3832	Léo Hemamou, Ghazi Felhi, Vincent Vandenbussche, Jean-Claude Martin, Chloé Clavel	
72	Learning Diffusions without Timestamps	https://aaai.org/ojs/index.php/AAAI/article/view/3833	Hao Huang, Qian Yan, Ting Gan, Di Niu, Wei Lu, Yunjun Gao	
73	CheXpert: A Large Chest Radiograph Dataset with Uncertainty Labels and Expert Comparison	https://aaai.org/ojs/index.php/AAAI/article/view/3834	Jeremy Irvin, Pranav Rajpurkar, Michael Ko, Yifan Yu, Silviana Ciurea-Ilcus, Chris Chute, Henrik Marklund, Behzad Haghgoo, Robyn Ball, Katie Shpanskaya, Jayne Seekins, David A. Mong, Safwan S. Halabi, Jesse K. Sandberg, Ricky Jones, David B. Larson, Curtis P. Langlotz, Bhavik N. Patel, Matthew P. Lungren, Andrew Y. Ng	
74	Evolutionarily Learning Multi-Aspect Interactions and Influences from Network Structure and Node Content	https://aaai.org/ojs/index.php/AAAI/article/view/3835	Songlei Jian, Liang Hu, Longbing Cao, Kai Lu, Hang Gao	
75	Multi-GCN: Graph Convolutional Networks for Multi-View Networks, with Applications to Global Poverty	https://aaai.org/ojs/index.php/AAAI/article/view/3836	Muhammad Raza Khan, Joshua E. Blumenstock	
76	Algorithms for Estimating Trends in Global Temperature Volatility	https://aaai.org/ojs/index.php/AAAI/article/view/3837	Arash Khodadadi, Daniel J. McDonald	
77	Allocating Interventions Based on Predicted Outcomes: A Case Study on Homelessness Services	https://aaai.org/ojs/index.php/AAAI/article/view/3838	Amanda Kube, Sanmay Das, Patrick J. Fowler	
78	ReAl-LiFE: Accelerating the Discovery of Individualized Brain Connectomes on GPUs	https://aaai.org/ojs/index.php/AAAI/article/view/3839	Sawan Kumar, Varsha Sreenivasan, Partha Talukdar, Franco Pestilli, Devarajan Sridharan	
79	Latent Dirichlet Allocation for Internet Price War	https://aaai.org/ojs/index.php/AAAI/article/view/3840	Chenchen Li, Xiang Yan, Xiaotie Deng, Yuan Qi, Wei Chu, Le Song, Junlong Qiao, Jianshan He, Junwu Xiong	
80	Deep Hierarchical Graph Convolution for Election Prediction from Geospatial Census Data	https://aaai.org/ojs/index.php/AAAI/article/view/3841	Mike Li, Elija Perrier, Chang Xu	
81	Who Blames Whom in a Crisis? Detecting Blame Ties from News Articles Using Neural Networks	https://aaai.org/ojs/index.php/AAAI/article/view/3842	Shuailong Liang, Olivia Nicol, Yue Zhang	
82	Convex Formulations for Fair Principal Component Analysis	https://aaai.org/ojs/index.php/AAAI/article/view/3843	Matt Olfat, Anil Aswani	
83	Violence Rating Prediction from Movie Scripts	https://aaai.org/ojs/index.php/AAAI/article/view/3844	Victor R. Martinez, Krishna Somandepalli, Karan Singla, Anil Ramakrishna, Yalda T. Uhls, Shrikanth Narayanan	
84	Image Aesthetic Assessment Assisted by Attributes through Adversarial Learning	https://aaai.org/ojs/index.php/AAAI/article/view/3845	Bowen Pan, Shangfei Wang, Qisheng Jiang	
85	A Model-Free Affective Reinforcement Learning Approach to Personalization of an Autonomous Social Robot Companion for Early Literacy Education	https://aaai.org/ojs/index.php/AAAI/article/view/3846	Hae Won Park, Ishaan Grover, Samuel Spaulding, Louis Gomez, Cynthia Breazeal	
86	Emergency Department Online Patient-Caregiver Scheduling	https://aaai.org/ojs/index.php/AAAI/article/view/3745	Hanan Rosemarin, Ariel Rosenfeld, Sarit Kraus	
87	Multi3Net: Segmenting Flooded Buildings via Fusion of Multiresolution, Multisensor, and Multitemporal Satellite Imagery	https://aaai.org/ojs/index.php/AAAI/article/view/3848	Tim G. J. Rudner, Marc Rußwurm, Jakub Fil, Ramona Pelich, Benjamin Bischke, Veronika Kopačková, Piotr Biliński	
88	Learning to Address Health Inequality in the United States with a Bayesian Decision Network	https://aaai.org/ojs/index.php/AAAI/article/view/3849	Tavpritesh Sethi, Anant Mittal, Shubham Maheshwari, Samarth Chugh	
89	Axiomatic Characterization of Data-Driven Influence Measures for Classification	https://aaai.org/ojs/index.php/AAAI/article/view/3850	Jakub Sliwinski, Martin Strobel, Yair Zick	
90	Hotels-50K: A Global Hotel Recognition Dataset	https://aaai.org/ojs/index.php/AAAI/article/view/3863	Abby Stylianou, Hong Xuan, Maya Shende, Jonathan Brandt, Richard Souvenir, Robert Pless	
91	A Study of Educational Data Mining: Evidence from a Thai University	https://aaai.org/ojs/index.php/AAAI/article/view/3851	Ruangsak Trakunphutthirak, Yen Cheung, Vincent C. S. Lee	
92	AutoZOOM: Autoencoder-Based Zeroth Order Optimization Method for Attacking Black-Box Neural Networks	https://aaai.org/ojs/index.php/AAAI/article/view/3852	Chun-Chen Tu, Paishun Ting, Pin-Yu Chen, Sijia Liu, Huan Zhang, Jinfeng Yi, Cho-Jui Hsieh, Shin-Ming Cheng	
93	Knowledge Tracing Machines: Factorization Machines for Knowledge Tracing	https://aaai.org/ojs/index.php/AAAI/article/view/3853	Jill-Jenn Vie, Hisashi Kashima	
94	Forbidden Nodes Aware Community Search	https://aaai.org/ojs/index.php/AAAI/article/view/3854	Chaokun Wang, Junchao Zhu	
95	Bidirectional Inference Networks:A Class of Deep Bayesian Networks for Health Profiling	https://aaai.org/ojs/index.php/AAAI/article/view/3855	Hao Wang, Chengzhi Mao, Hao He, Mingmin Zhao, Tommi S. Jaakkola, Dina Katabi	
96	DeepETA: A Spatial-Temporal Sequential Neural Network Model for Estimating Time of Arrival in Package Delivery System	https://aaai.org/ojs/index.php/AAAI/article/view/3856	Fan Wu, Lixia Wu	
97	Zero Shot Learning for Code Education: Rubric Sampling with Deep Learning Inference	https://aaai.org/ojs/index.php/AAAI/article/view/3857	Mike Wu, Milan Mosse, Noah Goodman, Chris Piech	
98	Detecting Incongruity between News Headline and Body Text via a Deep Hierarchical Encoder	https://aaai.org/ojs/index.php/AAAI/article/view/3756	Seunghyun Yoon, Kunwoo Park, Joongbo Shin, Hongjun Lim, Seungpil Won, Meeyoung Cha, Kyomin Jung	
